open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp,Halving
61553.98985,66454.44997,61330.40878,66267.49147,39815167074,1.31E+12,19695432.26,-0.016836985,2024-05-15 23:59:59.999000+00:00,
66256.11182,66712.42938,64613.05605,65231.58031,31573077994,1.29E+12,19699167.95,0.018967285,2024-05-16 23:59:59.999000+00:00,
65231.29868,67459.4595,65119.31498,67051.87491,28031279310,1.32E+12,19703954.93,0.024300439,2024-05-17 23:59:59.999000+00:00,
67066.21104,67387.33037,66663.49652,66940.80441,16712277406,1.32E+12,19700128,-0.019422162,2024-05-18 23:59:59.999000+00:00,
66937.93007,67694.29878,65937.17781,66278.37008,19249094538,1.31E+12,19700729.34,0.003052483,2024-05-19 23:59:59.999000+00:00,
66278.74467,71483.56622,66086.17412,71448.19519,43850655717,1.41E+12,19699702.97,-0.005209815,2024-05-20 23:59:59.999000+00:00,
71443.06344,71946.46269,69191.12353,70136.53144,46932005990,1.38E+12,19701215.32,0.007676992,2024-05-21 23:59:59.999000+00:00,
70135.31863,70623.69427,68977.69141,69122.33901,32802561717,1.36E+12,19701710.69,0.002514427,2024-05-22 23:59:59.999000+00:00,
69121.30294,70041.27138,66356.95363,67929.56304,41895680979,1.34E+12,19701893.44,0.00092761,2024-05-23 23:59:59.999000+00:00,
67928.13029,69220.29394,66622.66868,68526.09777,29197308153,1.35E+12,19703271.05,0.006992253,2024-05-24 23:59:59.999000+00:00,
68526.92222,69579.32133,68515.81883,69265.94274,15473071741,1.36E+12,19703024.51,-0.001251267,2024-05-25 23:59:59.999000+00:00,
69264.28525,69506.22854,68183.89281,68518.08997,15628433737,1.35E+12,19702368.52,-0.003329386,2024-05-26 23:59:59.999000+00:00,
68512.18027,70597.87951,68232.50113,69394.55337,25870990717,1.37E+12,19704353,0.010072291,2024-05-27 23:59:59.999000+00:00,
69392.19677,69514.63935,67227.1544,68296.22199,32722265965,1.35E+12,19704714.4,0.001834089,2024-05-28 23:59:59.999000+00:00,
68296.34813,68852.4633,67101.49433,67578.09292,26707072906,1.33E+12,19704611.35,-0.000522939,2024-05-29 23:59:59.999000+00:00,
67576.0879,69500.5427,67118.07742,68364.98955,29509712534,1.35E+12,19704996,0.00195208,2024-05-30 23:59:59.999000+00:00,
68362.51594,68999.56524,66633.41834,67489.61178,27387283769,1.33E+12,19706168,0.005947722,2024-05-31 23:59:59.999000+00:00,
67475.43118,67839.7684,67386.19761,67706.93731,11641495604,1.33E+12,19707541.26,0.006968686,2024-06-01 23:59:59.999000+00:00,
67710.27089,68409.16583,67315.52631,67751.60258,17110588415,1.34E+12,19707694.92,0.000779706,2024-06-02 23:59:59.999000+00:00,
67753.89541,70230.82085,66252.02692,68804.78009,32401285324,1.36E+12,19707300,-0.002003897,2024-06-03 23:59:59.999000+00:00,
68804.56722,71047.40601,68564.64322,70567.7689,33149696545,1.39E+12,19707915.37,0.003122531,2024-06-04 23:59:59.999000+00:00,
70568.35029,71735.41098,70390.71269,71082.8227,32810771409,1.40E+12,19708007.91,0.0004696,2024-06-05 23:59:59.999000+00:00,
71082.84043,71625.73725,70119.12303,70757.16585,25223152007,1.39E+12,19708987.26,0.004969285,2024-06-06 23:59:59.999000+00:00,
70759.18448,71907.84898,68507.26094,69342.58674,36188381096,1.37E+12,19709196,0.001059101,2024-06-07 23:59:59.999000+00:00,
69324.17655,69533.31697,69210.74156,69305.77432,14262185861,1.37E+12,19709721,0.002663731,2024-06-08 23:59:59.999000+00:00,
69297.49482,69817.5223,69160.84174,69647.993,13534028500,1.37E+12,19710168,0.002267916,2024-06-09 23:59:59.999000+00:00,
69644.31274,70146.06833,69232.42545,69512.28028,20597699541,1.37E+12,19710618,0.002283086,2024-06-10 23:59:59.999000+00:00,
69508.07973,69549.41673,66123.59916,67332.03046,37116136345,1.33E+12,19711006,0.001968482,2024-06-11 23:59:59.999000+00:00,
67321.3741,69977.89055,66902.45507,68241.18408,34497940694,1.35E+12,19711471,0.002359088,2024-06-12 23:59:59.999000+00:00,
68243.10444,68365.7836,66304.5656,66756.39709,28955204146,1.32E+12,19711893,0.002140885,2024-06-13 23:59:59.999000+00:00,
66747.56951,67294.65105,65056.89301,66011.09373,27403884779,1.30E+12,19712165,0.001379878,2024-06-14 23:59:59.999000+00:00,
66006.74025,66402.18735,65871.77605,66191.00047,14121265576,1.30E+12,19712475,0.001572633,2024-06-15 23:59:59.999000+00:00,
66189.35779,66894.84124,66018.24917,66639.04654,13281140541,1.31E+12,19713256,0.003961958,2024-06-16 23:59:59.999000+00:00,
66636.5155,67188.31747,65094.96413,66490.29418,30006354476,1.31E+12,19713725,0.00237911,2024-06-17 23:59:59.999000+00:00,
66490.97701,66556.69942,64066.95567,65140.74459,39481285950,1.28E+12,19714162,0.00221673,2024-06-18 23:59:59.999000+00:00,
65146.65912,65695.35418,64693.3023,64960.2953,21103423504,1.28E+12,19714543,0.001932621,2024-06-19 23:59:59.999000+00:00,
64960.2953,66438.96388,64547.84932,64828.65581,25641109124,1.28E+12,19714762,0.001110855,2024-06-20 23:59:59.999000+00:00,
64837.98759,65007.54637,62785.52932,64096.19819,26188171739,1.26E+12,19715084,0.001633294,2024-06-21 23:59:59.999000+00:00,
